epoch,accuracy,loss,val_accuracy,val_loss
0,0.27033334970474243,1.818066120147705,0.3468932807445526,1.6661912202835083
1,0.3386046290397644,1.6746610403060913,0.3357481062412262,1.6662205457687378
2,0.36493781208992004,1.6163840293884277,0.3753134608268738,1.6961385011672974
3,0.3894945979118347,1.571925163269043,0.3711340129375458,1.6494052410125732
4,0.4032881557941437,1.5372785329818726,0.4020618498325348,1.679623007774353
5,0.4168379306793213,1.5037250518798828,0.3950961232185364,1.540800929069519
6,0.4356125295162201,1.464115858078003,0.49763163924217224,1.3225828409194946
7,0.45243650674819946,1.430712103843689,0.492337703704834,1.3212300539016724
8,0.4610052704811096,1.4063618183135986,0.4159933030605316,1.6207611560821533
9,0.4716987609863281,1.3823708295822144,0.508776843547821,1.3011530637741089
10,0.47566965222358704,1.3641146421432495,0.5327389240264893,1.237191081047058
11,0.48806995153427124,1.3431456089019775,0.5319030284881592,1.223484754562378
12,0.48904523253440857,1.3356431722640991,0.5101699829101562,1.2666491270065308
13,0.4947229027748108,1.3245183229446411,0.4803566336631775,1.3727874755859375
14,0.4996691048145294,1.3115037679672241,0.5249373316764832,1.235689640045166
15,0.5050332546234131,1.3058892488479614,0.4388408958911896,1.4256638288497925
16,0.5040231347084045,1.2941181659698486,0.530509889125824,1.2747784852981567
17,0.5091782808303833,1.285593032836914,0.5603232383728027,1.175004005432129
18,0.5109896063804626,1.2753115892410278,0.4274170994758606,1.5148789882659912
19,0.5130098462104797,1.2747858762741089,0.4471997916698456,1.405026912689209
20,0.518478512763977,1.2642747163772583,0.41069936752319336,1.5332181453704834
21,0.5189313292503357,1.2603752613067627,0.5809417963027954,1.1262186765670776
22,0.5242606997489929,1.2574799060821533,0.5592086911201477,1.1765161752700806
23,0.522519052028656,1.2500349283218384,0.5703538656234741,1.1225531101226807
24,0.525201141834259,1.2499037981033325,0.5706325173377991,1.1296278238296509
25,0.5296596884727478,1.2422889471054077,0.5572583079338074,1.1930994987487793
26,0.5317147970199585,1.234925627708435,0.5656171441078186,1.1609257459640503
27,0.5309484601020813,1.2298487424850464,0.4959598779678345,1.3269259929656982
28,0.534083366394043,1.2298877239227295,0.5670102834701538,1.145721197128296
29,0.5348148941993713,1.2227013111114502,0.5692393183708191,1.1258271932601929
30,0.5351980328559875,1.2192291021347046,0.5539147257804871,1.1618789434432983
31,0.5409801602363586,1.2185754776000977,0.5430482029914856,1.2286678552627563
32,0.5387160778045654,1.2190735340118408,0.5575369000434875,1.149479627609253
33,0.5391688942909241,1.21294105052948,0.5792700052261353,1.1177961826324463
34,0.5390644073486328,1.2125756740570068,0.5853998064994812,1.0976101160049438
35,0.5444285869598389,1.2056533098220825,0.561437726020813,1.1537625789642334
36,0.5463792085647583,1.2019095420837402,0.554193377494812,1.187117576599121
37,0.5440454483032227,1.1999619007110596,0.4494287967681885,1.5365513563156128
38,0.5418161749839783,1.2001057863235474,0.5915296673774719,1.0607906579971313
39,0.5402138829231262,1.2042256593704224,0.5934800505638123,1.0652047395706177
